ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
53664;Arbres, végétaux et animaux;Herbes éparses;66 avenue Félix Faure, 75015 PARIS;75015;Paris 15;15;CITROEN - BOUCICAUT;2022-04-23;2022;4;Androï;DPE-STPP-DT;G2022D053664;"{""coordinates"": [2.28558039908201, 48.84029399690063], ""type"": ""Point""}";48.84029399690063,2.28558039908201;2022-04
74745;Arbres, végétaux et animaux;Présence de rats;4 Place du Marché Sainte-Catherine, 75004 PARIS;75001;Paris 1;4;SAINT - GERVAIS;2022-06-28;2022;6;IOPage DMR Paris.fr application;DASES;A2022F074745;"{""coordinates"": [2.3631225066559307, 48.855391999279966], ""type"": ""Point""}";48.855391999279966,2.3631225066559307;2022-06
30424;Arbres, végétaux et animaux;Pied d'arbre:[] Grille d'arbre impossible à caler;81 rue d'Alesia, 75014 PARIS;75014;Paris 14;14;JEAN MOULIN - PORTE D'ORLEANS;2022-04-13;2022;4;IOPage DMR Paris.fr application;DVD;A2022D030424;"{""coordinates"": [2.3277817051542127, 48.827682001542655], ""type"": ""Point""}";48.827682001542655,2.3277817051542127;2022-04
11126;Arbres, végétaux et animaux;Pied d'arbre:Végétation débordante en pied d'arbre;46 boulevard de Picpus, 75012 PARIS;75012;Paris 12;12;BEL - AIR NORD;2022-05-05;2022;5;Page DMR Paris.fr;DPE-STPP-DT;S2022E011126;"{""coordinates"": [2.4019237015640957, 48.8432299947601], ""type"": ""Point""}";48.8432299947601,2.4019237015640957;2022-05
33767;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;5 Rue Sainte-Félicite, 75015 PARIS;75015;Paris 15;15;ALLERAY - PROCESSION;2022-06-13;2022;6;Androï;DEVE-SAB;G2022F033767;"{""coordinates"": [2.3045860052711626, 48.83905399915288], ""type"": ""Point""}";48.83905399915288,2.3045860052711626;2022-06
22409;Arbres, végétaux et animaux;Herbes éparses;5 Rue des Montiboeufs, 75020 PARIS;75020;Paris 20;20;GAMBETTA;2022-06-09;2022;6;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022F022409;"{""coordinates"": [2.4055739955935755, 48.86620700215655], ""type"": ""Point""}";48.86620700215655,2.4055739955935755;2022-06
20208;Arbres, végétaux et animaux;Herbes éparses;13bis Rue Philippe de Girard, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2022-06-08;2022;6;Androï;DPE-STPP-DT;G2022F020208;"{""coordinates"": [2.361517994022468, 48.882065000247316], ""type"": ""Point""}";48.882065000247316,2.361517994022468;2022-06
32819;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;19 place Diaghilev, 75009 PARIS;75009;Paris 9;9;OPERA - CHAUSSEE D'ANTIN;2022-03-14;2022;3;Page DMR Paris.fr;DVD;S2022C032819;"{""coordinates"": [2.3307967010508004, 48.87303500080378], ""type"": ""Point""}";48.87303500080378,2.3307967010508004;2022-03
37876;Arbres, végétaux et animaux;Herbes éparses;26 Rue Fragonard, 75017 PARIS;75017;Paris 17;17;EPINETTES - BESSIERES;2022-06-14;2022;6;Androï;DPE-STPP-DT;G2022F037876;"{""coordinates"": [2.317158203484452, 48.89448000004939], ""type"": ""Point""}";48.89448000004939,2.317158203484452;2022-06
49506;Arbres, végétaux et animaux;Herbes éparses;6 Rue Biot, 75017 PARIS;75017;Paris 17;17;BATIGNOLLES;2022-06-18;2022;6;Androï;DPE-STPP-DT;G2022F049506;"{""coordinates"": [2.326639995033973, 48.88406799803919], ""type"": ""Point""}";48.88406799803919,2.326639995033973;2022-06
