DOMANIALITE,ARRONDISSEMENT,GENRE,ESPECE,VARIETE OUCULTIVAR,CIRCONFERENCE (cm),HAUTEUR (m),STADE DE DEVELOPPEMENT,latitude,longitude
Alignement,12,Platanus,x hispanica,,140,15,Adulte,48.837190310005305,2.382092880541783
Alignement,20,Tilia,tomentosa,,60,8,Jeune (arbre)Adulte,48.863398361216476,2.38927436585107
Alignement,16,Platanus,x hispanica,,161,22,Adulte,48.85900319627018,2.243819872197091
Alignement,12,Acer,platanoides,,85,8,Jeune (arbre)Adulte,48.83746664901602,2.440086303619509
Alignement,12,Aesculus,hippocastanum,,200,10,Adulte,48.8471119563534,2.40739261939069
Alignement,15,Tilia,tomentosa,,50,8,Jeune (arbre)Adulte,48.843398447834176,2.282989911227264
Alignement,18,Prunus,x schmittii,,55,8,Jeune (arbre)Adulte,48.89832769928997,2.3629432573429
Alignement,16,Aesculus,x carnea,''Briotii'',43,7,Jeune (arbre)Adulte,48.856804763996905,2.266008775200493
Alignement,14,Acer,platanoides,,60,6,Jeune (arbre),48.841162777598456,2.32969689577061
Alignement,20,Platanus,x hispanica,,170,20,Adulte,48.87064093682312,2.393513651723437
Alignement,16,Platanus,x hispanica,,185,25,Adulte,48.86768091306502,2.2337846172913
Alignement,14,Fraxinus,ornus,,80,9,Jeune (arbre)Adulte,48.82438086650379,2.310030391631382
Alignement,16,Celtis,australis,,57,9,Jeune (arbre)Adulte,48.86666526641749,2.2501174570012
Alignement,12,Tilia,platyphyllos,,130,13,Jeune (arbre)Adulte,48.8260875242312,2.462600738648173
Alignement,19,Platanus,orientalis,,145,20,Adulte,48.8802516364504,2.37414176824167
Alignement,12,Platanus,x hispanica,,215,20,Mature,48.83905571857994,2.408405814634
Alignement,19,Non spécifié,n. sp.,,120,10,Adulte,48.889035026728045,2.396935446914537
Alignement,17,Paulownia,tomentosa,,98,10,Adulte,48.87553124778331,2.293592291195645
Alignement,14,Tilia,tomentosa,,90,8,Jeune (arbre)Adulte,48.82521811816324,2.3271081023291
Alignement,15,Corylus,colurna,,55,7,Jeune (arbre)Adulte,48.83628301655376,2.307717463038
Alignement,14,Platanus,x hispanica,,125,12,Adulte,48.82095634879735,2.32578273889958
Alignement,19,Sophora,japonica,,40,6,Jeune (arbre),48.8753490882317,2.373505226444444
Alignement,17,Platanus,x hispanica,,110,10,Adulte,48.8866872406427,2.296651612896334
Alignement,20,Malus,n. sp.,,60,5,Jeune (arbre)Adulte,48.8709175381516,2.3822640300657
Alignement,14,Gleditsia,triacanthos,''Skyline'',50,6,Jeune (arbre),48.821900495252926,2.32637678242459
Alignement,16,Acer,pseudoplatanus,,120,15,Adulte,48.854288875869166,2.263190595438748
Alignement,19,Sophora,japonica,,110,15,Adulte,48.88404964850455,2.39947066221391
Alignement,16,Aesculus,hippocastanum,,48,6,Jeune (arbre)Adulte,48.85758350499434,2.268594521013643
Alignement,12,Platanus,x hispanica,,160,15,Adulte,48.839118604000504,2.39654483685509
Alignement,20,Aesculus,hippocastanum,''Baumannii'',85,10,Adulte,48.857829375813445,2.40284743742903
Alignement,14,Sophora,japonica,,60,6,Jeune (arbre),48.84043663057734,2.326937337621032
Alignement,12,Sophora,japonica,,100,10,Adulte,48.83551628931641,2.402077123983272
Alignement,19,Platanus,x hispanica,,170,18,Adulte,48.89894694094134,2.3775905146595
Alignement,20,Aesculus,hippocastanum,,155,12,Adulte,48.84712377147624,2.41314304398422
Alignement,13,Celtis,australis,,95,15,Adulte,48.81699708558324,2.347542563502601
Alignement,13,Platanus,occidentalis,,110,15,Adulte,48.82994014661196,2.3516605785364
Alignement,16,Aesculus,hippocastanum,''Baumannii'',55,10,Jeune (arbre)Adulte,48.856810755460664,2.265811144856085
Alignement,18,Platanus,x hispanica,,170,17,Adulte,48.898419464168086,2.36255427403272
Alignement,16,Aesculus,hippocastanum,''Baumannii'',125,8,Adulte,48.864144138141214,2.29181445290255
Alignement,12,Tilia,platyphyllos,,80,9,Jeune (arbre)Adulte,48.83415767826455,2.442539428287254
Alignement,18,Ulmus,,''Sapporo Autumn Gold'' RESISTA,30,5,Jeune (arbre),48.89407840365952,2.331910501919635
Alignement,16,Acer,pseudoplatanus,''Leopoldii'',20,5,,48.8578409701318,2.27761203317335
Alignement,17,Platanus,x hispanica,,97,10,Adulte,48.885927818730984,2.294057080588044
Alignement,16,Platanus,x hispanica,,180,16,Adulte,48.8463696462081,2.26807172585402
Alignement,16,Platanus,x hispanica,,145,22,Adulte,48.86626162263146,2.2966997031504
Alignement,19,Platanus,x hispanica,,60,10,Jeune (arbre)Adulte,48.89886973294122,2.373763765810174
Alignement,19,Paulownia,tomentosa,,70,5,Jeune (arbre)Adulte,48.88964316013723,2.39503037586268
Alignement,14,Tilia,tomentosa,,130,10,Jeune (arbre)Adulte,48.83696266088616,2.32463669207279
Alignement,12,Pyrus,calleryana,''Chanticleer'',55,5,Adulte,48.84523175727497,2.37575598236723
Alignement,12,Aesculus,hippocastanum,,190,10,Adulte,48.83774388730505,2.41315904549499
Alignement,18,Tilia,tomentosa,,85,12,Jeune (arbre)Adulte,48.887726418272855,2.348763614391552
Alignement,12,Aesculus,hippocastanum,,45,7,Jeune (arbre),48.83172740481501,2.46562066638058
Alignement,12,Aesculus,hippocastanum,,170,20,Adulte,48.84452912162733,2.450210467876518
Alignement,19,Pyrus,calleryana,''Chanticleer'',20,5,,48.887014985118306,2.39391577947396
Alignement,15,Lagerstroemia,indica,,20,5,,48.85091290865148,2.29618301480672
Alignement,16,Platanus,x hispanica,,205,20,Adulte,48.8649086201047,2.29935022470325
Alignement,12,Platanus,x hispanica,,100,10,Adulte,48.841766042623775,2.393135145361644
Alignement,20,Platanus,x hispanica,,200,15,Mature,48.86121296596529,2.409414487046558
Alignement,13,Zelkova,carpinifolia,,45,4,Jeune (arbre)Adulte,48.83571784432816,2.360080840548003
Alignement,20,Platanus,x hispanica,,155,12,Adulte,48.862434026995835,2.4110637884709
Alignement,19,Platanus,orientalis,,195,20,Adulte,48.88035840121304,2.39072786547346
Alignement,19,Platanus,orientalis,,65,15,Jeune (arbre),48.88069444905897,2.373877015991776
Alignement,14,Platanus,x hispanica,,110,15,Jeune (arbre)Adulte,48.82970073395809,2.32598594468678
Alignement,16,Aesculus,hippocastanum,,82,10,Jeune (arbre)Adulte,48.8629397546262,2.26954380835902
Alignement,12,Pinus,n. sp.,,50,5,Jeune (arbre)Adulte,48.831649554099286,2.39849082860877
Alignement,13,Celtis,australis,,85,8,Adulte,48.83435256429539,2.35780975454169
Alignement,13,Juglans,nigra,,75,9,Adulte,48.822149239669294,2.371523662578851
Alignement,14,Tilia,tomentosa,,70,6,Jeune (arbre),48.826382291673056,2.32960628814795
Alignement,17,Platanus,x hispanica,,80,9,Jeune (arbre)Adulte,48.892317347745184,2.327106269695214
Alignement,16,Ailanthus,altissima,,122,12,Adulte,48.84638610262847,2.257782788101805
Alignement,14,Pterocarya,fraxinifolia,,60,5,Jeune (arbre),48.841271493174425,2.324140841429623
