ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
48605;Arbres, végétaux et animaux;Présence de rats;8 boulevard de l'Hôpital, 75005 PARIS;75005;Paris 5;5;JARDIN DES PLANTES;2021-11-21;2021;11;Androï;DASES;G2021K048605;"{""coordinates"": [2.363421694649356, 48.84257500321537], ""type"": ""Point""}";48.84257500321537,2.363421694649356;2021-11
73211;Arbres, végétaux et animaux;Herbes éparses;16 Rue Marsoulan, 75012 PARIS;75012;Paris 12;12;BEL - AIR NORD;2021-09-24;2021;9;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021I073211;"{""coordinates"": [2.403493600857484, 48.84643999926358], ""type"": ""Point""}";48.84643999926358,2.403493600857484;2021-09
82968;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'essaim ou de nid d'insectes;37 rue Chanez, 75016 PARIS;75016;Paris 16;16;AUTEUIL SUD;2021-09-28;2021;9;Page DMR Paris.fr;;S2021I082968;"{""coordinates"": [2.2590404020938095, 48.84551599701524], ""type"": ""Point""}";48.84551599701524,2.2590404020938095;2021-09
83771;Arbres, végétaux et animaux;Herbes éparses;83 Rue des Grands Champs, 75020 PARIS;75020;Paris 20;20;PLAINE LAGNY;2021-09-28;2021;9;Androï;DPE-STPP-DT;G2021I083771;"{""coordinates"": [2.4066402940717304, 48.851707001582106], ""type"": ""Point""}";48.851707001582106,2.4066402940717304;2021-09
84586;Arbres, végétaux et animaux;Arbre à élaguer;9 avenue de Saint-Ouen, 75017 PARIS;75017;Paris 17;17;LA FOURCHE - GUY MOQUET;2021-09-28;2021;9;Page DMR Paris.fr;DEVE-SAB;S2021I084586;"{""coordinates"": [2.3256732978164334, 48.888290000096816], ""type"": ""Point""}";48.888290000096816,2.3256732978164334;2021-09
65441;Arbres, végétaux et animaux;Présence de rats;20 Rue de la Lune, 75002 PARIS;75001;Paris 1;2;SENTIER - BONNE NOUVELLE;2021-09-22;2021;9;Androï;DASES;G2021I065441;"{""coordinates"": [2.3499593999938604, 48.86988400063343], ""type"": ""Point""}";48.86988400063343,2.3499593999938604;2021-09
84656;Arbres, végétaux et animaux;Présence de rats;9 Rue Notre Dame de Bonne Nouvelle, 75002 PARIS;75001;Paris 1;2;SENTIER - BONNE NOUVELLE;2021-09-28;2021;9;Androï;DASES;G2021I084656;"{""coordinates"": [2.3497766997872485, 48.86985399554534], ""type"": ""Point""}";48.86985399554534,2.3497766997872485;2021-09
37873;Arbres, végétaux et animaux;Présence de rats;7 avenue Paul Appell, 75014 PARIS;75014;Paris 14;14;JEAN MOULIN - PORTE D'ORLEANS;2021-11-17;2021;11;Page DMR Paris.fr;DASES;S2021K037873;"{""coordinates"": [2.328650698871679, 48.8211559950117], ""type"": ""Point""}";48.8211559950117,2.328650698871679;2021-11
86375;Arbres, végétaux et animaux;[] Herbes nécessitant l'organisation d'une opération de tonte spécifique;53 Rue de l'Hôtel de ville, 75004 PARIS;75001;Paris 1;4;SAINT - GERVAIS;2021-09-29;2021;9;Androï;DPE-STPP-Fonctionnelle;G2021I086375;"{""coordinates"": [2.3549964056203114, 48.854393000775424], ""type"": ""Point""}";48.854393000775424,2.3549964056203114;2021-09
27485;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;2 Avenue de la Porte de Clichy, 75017 PARIS;75017;Paris 17;17;EPINETTES - BESSIERES;2021-11-12;2021;11;IOPage DMR Paris.fr application;DEVE-SAB;A2021K027485;"{""coordinates"": [2.3137394949012386, 48.89452000166759], ""type"": ""Point""}";48.89452000166759,2.3137394949012386;2021-11
